x	y	resid
166192.55	430579.22	-3.1582
169684.13	433118.78	-272.0089
163666.41	427657.22	22.4633
157732.70	426400.59	25.4121
159168.23	430821.97	-13.1674
162034.30	431382.69	-2.6326
172685.86	432988.53	45.2897
178323.69	427923.25	-22.014
171934.36	431294.25	0.0439
181701.17	431102.75	-224.686
182788.70	425640.28	-98.9512
183580.23	425005.97	-70.8102
180396.41	427706.69	-17.4895
180179.80	427208.69	-58.6523
182427.42	423758.31	-14.5413
156726.59	429627.81	-1.1468
158544.20	428722.03	23.133
163613.27	431010.41	7.319
168446.08	430712.19	90.5096
168185.61	434266.81	-153.4222
164605.38	429039.66	0.3901
165320.55	426915.06	-3.6155
166821.95	428037.13	-65.1404
176938.83	427183.31	3.7083
179393.97	430479.19	9.0666
174008.66	430482.34	70.2249
156710.73	429412.31	-162.3109
160923.19	430315.66	-9.912
178844.81	426592.28	33.4529
177659.95	426524.13	-27.8804
174715.14	431906.69	5.0662
170554.47	431423.16	3.0632
178323.95	430897.94	-8.4656
178905.80	422868.09	-94.6628
183031.42	424029.25	5.1057
166229.97	432386.66	10.9167
165209.16	431728.72	19.8855
166599.92	430547.94	-15.2638
169185.88	433419.03	-402.643
165006.34	426476.84	2.9534
162728.80	431483.94	-7.8141
175927.50	424994.03	-378.063
175318.08	427180.66	-22.6541
175285.09	425662.31	0.8414
170506.69	426496.81	-143.587
174820.97	426399.81	2.8627
175200.27	432731.56	-39.0988
180092.50	427065.81	-1.3307
184740.09	430990.91	-48
185395.78	419607.72	4.9606
187276.11	419280.50	-35.9402
180751.47	428281.34	-3.3903
183179.50	427395.28	-72.6729
164069.95	427705.84	-2.2938
165877.59	426101.69	-32.7451
165762.06	425784.50	218.1332
174282.50	427939.34	-3.7685
170456.58	427915.06	21.9838
172620.31	433359.25	-165.265
171823.59	427414.94	21.2076
176138.06	432984.81	20.7723
174642.83	423327.72	-11.2182
175772.89	423838.13	0.6147
182897.70	423419.66	-27.2234
178944.00	423695.03	16.8575
173015.06	432306.38	-7.6832
178596.64	420418.19	-25.2008
177494.98	433272.09	-37.9926
179193.94	428143.03	-7.0204
170467.66	428353.66	4.0045
183059.61	421145.16	-13.8284
181731.13	420839.53	17.7602
184988.20	420490.53	-4.472
181271.91	420128.44	-73.5154
180050.86	422856.38	-4.3033
159710.06	431245.00	-4.9984
159312.44	427760.88	-4.5328
156217.22	427059.88	-80.1229
168801.25	432151.53	95.4246
160314.47	433068.94	-73.6902
169766.48	428379.56	17.7886
159096.58	430445.44	-30.6617
172718.14	433199.81	-15.9199
181080.48	431147.75	1.0917
179940.44	420935.09	-50.2144
184066.33	421179.03	100.823
183837.59	418755.28	-117.9444
186633.05	419591.31	-152.142
164863.28	429432.63	23.3301
174233.19	427798.00	26.7571
172444.53	433570.41	27.5359
177605.72	429972.88	-219.4724
177864.25	425433.53	-85.6776
175010.39	433944.00	-58.4852
174010.00	429591.31	40.3334
172602.55	431709.34	-15.8298
173186.27	431264.28	-20.8469
180788.95	426861.50	6.2424
180889.75	426032.16	-1.0457
181675.22	423558.56	-65.7426
181581.61	419044.97	-2.3307
181709.56	418546.97	-88.5407
166178.53	430960.38	1.7873
165328.88	428180.34	-8.8353
162946.34	431449.69	7.5454
160088.45	427906.81	22.7683
160108.23	431343.16	11.2657
